month,credit_volume,credit_amount,rate,inflation
01,345059,145183,9.00,7.42
02,188925,77817,8.79,7.48
03,267516,108435,8.69,6.69
04,305530,122397,8.62,6.00
05,203355,90513,8.32,5.15
06,198682,85460,7.40,4.30
07,276060,116402,7.50,3.25
08,361955,145974,7.28,2.51
09,392296,154507,7.16,2.31
10,503497,198722,7.32,3.51
11,546196,212286,7.31,10.99
12,491316,188487,7.38,11.77
13,560284,211539,7.36,11.94
14,259707,95051,7.23,11.98
15,403303,144983,7.26,12.63
16,501004,178113,7.23,13.68
17,550907,191426,7.30,14.30
18,433830,148464,7.30,15.10
19,544951,178720,7.07,15.90
20,433085,151422,7.67,17.10
21,439015,150792,7.78,17.83
22,476775,157723,7.73,16.69
23,500588,161784,7.70,9.15
24,510573,157595,7.59,8.73
25,641337,192410,7.81,8.39
26,326952,94982,7.87,8.40
27,476900,135663,8.10,8.13
28,521283,162766,8.05,7.40
29,161604,49371,7.64,6.68
30,139688,36603,6.17,6.50
31,253458,65439,6.36,6.50
32,341657,91602,6.67,6.00
33,457702,121868,6.67,5.50
34,518113,136599,6.71,5.80
35,448354,127336,7.38,5.70
36,470681,128813,7.11,5.20
37,696876,176247,6.65,4.90
38,281648,77309,7.86,4.40
39,422392,114644,8.05,4.00
40,569416,153984,8.18,3.70
41,566257,153343,8.52,3.60
42,580470,157841,8.40,3.40
43,626742,167819,8.45,3.20
44,646509,170538,8.25,3.00
45,849113,216073,8.04,3.10
46,955195,238197,7.92,2.50
47,769637,200364,8.35,2.30
48,726080,189084,8.18,2.40
